t,x,z,a,z_t,a_t,d
35.56599998,"[-0.09776632487773895, 0.4763926565647125]",0.391499993,stay,0.431749985,stay,FALSE
36.30799985,"[-0.09883904457092285, 0.4845432639122009]",0.431749985,stay,0.410749989,stay,FALSE
37.02999997,"[-0.10062330961227417, 0.4981381893157959]",0.410749989,stay,0.402999987,stay,FALSE
37.85899997,"[-0.10193429887294769, 0.5081143379211426]",0.402999987,stay,0.401999988,stay,FALSE
38.76999998,"[-0.10401679575443268, 0.5239813327789307]",0.401999988,stay,0.393999991,stay,FALSE
39.42799997,"[-0.10505703091621399, 0.5319072604179382]",0.393999991,stay,0.391499989,stay,FALSE
40.0999999,"[-0.1066165342926979, 0.5437977313995361]",0.391499989,stay,0.389749989,stay,FALSE
40.77599978,"[-0.10817623883485794, 0.5557114481925964]",0.389749989,stay,0.406499993,stay,FALSE
41.36999989,"[-0.10921989381313324, 0.563636839389801]",0.406499993,stay,0.408999997,stay,FALSE
41.98699999,"[-0.1102835088968277, 0.5717633366584778]",0.408999997,stay,0.411999983,stay,FALSE
42.64499998,"[-0.1115637794137001, 0.5815528631210327]",0.411999983,stay,0.391749988,stay,FALSE
43.22999978,"[-0.11294995993375778, 0.5920639038085938]",0.391749988,stay,0.42874999,stay,FALSE
43.8809998,"[-0.11439488083124161, 0.6031009554862976]",0.42874999,stay,0.421249993,stay,FALSE
44.54499984,"[-0.11546459794044495, 0.6112273335456848]",0.421249993,stay,0.416999988,stay,FALSE
45.11699986,"[-0.11650554090738297, 0.6191645264625549]",0.416999988,stay,0.37874999,stay,FALSE
45.76799989,"[-0.11780969798564911, 0.6291429996490479]",0.37874999,stay,0.416249988,stay,FALSE
46.37299991,"[-0.1191941648721695, 0.6396560072898865]",0.416249988,stay,0.416499991,stay,FALSE
46.96699977,"[-0.120597243309021, 0.6503726840019226]",0.416499991,stay,0.447999991,stay,FALSE
47.55999994,"[-0.12171819061040878, 0.6588858366012573]",0.447999991,stay,0.447249991,stay,FALSE
48.18999982,"[-0.1227509006857872, 0.6667565107345581]",0.447249991,stay,0.422749989,stay,FALSE
48.88699985,"[-0.12405002862215042, 0.676738440990448]",0.422749989,stay,0.39374999,stay,FALSE
49.55999994,"[-0.12579263746738434, 0.6899842023849487]",0.39374999,stay,0.436499991,stay,FALSE
50.17999983,"[-0.12691360712051392, 0.6984787583351135]",0.436499991,stay,0.418999994,stay,FALSE
50.77399993,"[-0.12795448303222656, 0.7064118385314941]",0.418999994,stay,0.466499989,stay,FALSE
51.37599993,"[-0.1289958357810974, 0.7143458724021912]",0.466499989,stay,0.382499989,stay,FALSE
52.07799983,"[-0.13064229488372803, 0.7269067168235779]",0.382499989,stay,0.431999992,stay,FALSE
52.71499991,"[-0.13208450376987457, 0.7379024028778076]",0.431999992,stay,0.418999989,stay,FALSE
53.3269999,"[-0.13315896689891815, 0.7460761666297913]",0.418999989,stay,0.435249987,stay,FALSE
53.99299979,"[-0.1345425695180893, 0.7566580772399902]",0.435249987,stay,0.399249988,stay,FALSE
54.72399998,"[-0.13600768148899078, 0.767826497554779]",0.399249988,stay,0.402249994,stay,FALSE
55.42799997,"[-0.13732309639453888, 0.7778077125549316]",0.402249994,stay,0.401499985,stay,FALSE
56.0309999,"[-0.13836321234703064, 0.7857321500778198]",0.401499985,stay,0.467499994,stay,FALSE
56.78199983,"[-0.14009590446949005, 0.7989429831504822]",0.467499994,stay,0.399249988,stay,FALSE
57.41499996,"[-0.14147783815860748, 0.8095375895500183]",0.399249988,stay,0.418999989,stay,FALSE
58.02399993,"[-0.14252528548240662, 0.8174591660499573]",0.418999989,stay,0.435999987,stay,FALSE
58.62099981,"[-0.14356651902198792, 0.8253956437110901]",0.435999987,stay,0.397999988,stay,FALSE
59.38499999,"[-0.14529994130134583, 0.8386112451553345]",0.397999988,stay,0.426249988,stay,FALSE
60.079,"[-0.14668890833854675, 0.8491910099983215]",0.426249988,stay,0.436499989,stay,FALSE
60.71499991,"[-0.14772987365722656, 0.857124388217926]",0.436499989,stay,0.402249995,stay,FALSE
61.42099977,"[-0.14928846061229706, 0.8690164685249329]",0.402249995,stay,0.438499992,stay,FALSE
62.023,"[-0.15065304934978485, 0.8794376850128174]",0.438499992,stay,0.426999987,stay,FALSE
62.71599984,"[-0.15189319849014282, 0.8888534903526306]",0.426999987,stay,0.438499993,stay,FALSE
63.35499978,"[-0.15295936167240143, 0.8970081806182861]",0.438499993,stay,0.461249989,stay,FALSE
64.08099985,"[-0.15481476485729218, 0.9111649394035339]",0.461249989,stay,0.418249992,stay,FALSE
